stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,4,|2V>,2.3777246095661397e-08
After BS (Heisenberg),after_bs,A,18,18.000000000000004,81.00000000000001,5,|HV>,2.427689449177286e-08
After BS (Heisenberg),after_bs,A,19,19.0,80.0,0,|vac>,0.9995374448853832
After BS (Heisenberg),after_bs,A,19,19.0,80.0,1,|H>,0.00023397201248034888
After BS (Heisenberg),after_bs,A,19,19.0,80.0,2,|V>,0.00022850355200707912
After BS (Heisenberg),after_bs,A,19,19.0,80.0,3,|2H>,2.704363765920421e-08
After BS (Heisenberg),after_bs,A,19,19.0,80.0,4,|2V>,2.5980275107956662e-08
After BS (Heisenberg),after_bs,A,19,19.0,80.0,5,|HV>,2.6526217339281683e-08
After BS (Heisenberg),after_bs,A,20,20.0,79.0,0,|vac>,0.999519423706997
After BS (Heisenberg),after_bs,A,20,20.0,79.0,1,|H>,0.0002430146634984697
After BS (Heisenberg),after_bs,A,20,20.0,79.0,2,|V>,0.00023747552934152803
After BS (Heisenberg),after_bs,A,20,20.0,79.0,3,|2H>,2.9270368365897062e-08
After BS (Heisenberg),after_bs,A,20,20.0,79.0,4,|2V>,2.811945021007219e-08
After BS (Heisenberg),after_bs,A,20,20.0,79.0,5,|HV>,2.871034446840992e-08
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,0,|vac>,0.9995029490639566
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,1,|H>,0.0002512695744205699
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,2,|V>,0.00024568905284565157
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,3,|2H>,3.138103136373061e-08
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,4,|2V>,3.014712141447601e-08
After BS (Heisenberg),after_bs,A,21,21.000000000000004,78.00000000000001,5,|HV>,3.078062458812064e-08
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,0,|vac>,0.9994882387635897
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,1,|H>,0.0002586270455749043
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,2,|V>,0.00025303616669777635
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,3,|2H>,3.332400917020195e-08
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,4,|2V>,3.2013700850900204e-08
After BS (Heisenberg),after_bs,A,22,22.000000000000004,77.0,5,|HV>,3.2686427802516296e-08
After BS (Heisenberg),after_bs,A,23,23.0,76.0,0,|vac>,0.9994755037512751
After BS (Heisenberg),after_bs,A,23,23.0,76.0,1,|H>,0.000264980967663615
After BS (Heisenberg),after_bs,A,23,23.0,76.0,2,|V>,0.00025941218788999636
After BS (Heisenberg),after_bs,A,23,23.0,76.0,3,|2H>,3.504726343834153e-08
After BS (Heisenberg),after_bs,A,23,23.0,76.0,4,|2V>,3.366919633310593e-08
After BS (Heisenberg),after_bs,A,23,23.0,76.0,5,|HV>,3.4376711403544894e-08
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,0,|vac>,0.9994649442448105
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,1,|H>,0.00027023078147967393
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,2,|V>,0.0002647176067376356
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,3,|2H>,3.6500173033249175e-08
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,4,|2V>,3.50649771617937e-08
After BS (Heisenberg),after_bs,A,24,24.000000000000004,75.00000000000001,5,|HV>,3.5801822779999456e-08
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,0,|vac>,0.9994567456027666
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,1,|H>,0.0002742835699642613
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,2,|V>,0.00026886012050723895
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,3,|2H>,3.7635558085808856e-08
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,4,|2V>,3.615571859202144e-08
After BS (Heisenberg),after_bs,A,25,25.000000000000004,74.0,5,|HV>,3.691548474543121e-08
After BS (Heisenberg),after_bs,A,26,26.0,73.0,0,|vac>,0.9994510739938464
After BS (Heisenberg),after_bs,A,26,26.0,73.0,1,|H>,0.0002770562482178119
After BS (Heisenberg),after_bs,A,26,26.0,73.0,2,|V>,0.0002717567677869597
After BS (Heisenberg),after_bs,A,26,26.0,73.0,3,|2H>,3.84118118690417e-08
After BS (Heisenberg),after_bs,A,26,26.0,73.0,4,|2V>,3.690144988365124e-08
After BS (Heisenberg),after_bs,A,26,26.0,73.0,5,|HV>,3.7676886625753415e-08
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,0,|vac>,0.9994480719547754
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,1,|H>,0.00027847780664674675
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,2,|V>,0.00027333612114474647
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,3,|2H>,3.8795040469013006e-08
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,4,|2V>,3.7269609839865315e-08
After BS (Heisenberg),after_bs,A,27,27.0,72.00000000000001,5,|HV>,3.805278299226889e-08
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,0,|vac>,0.9994478539459467
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,1,|H>,0.00027849155148393714
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,2,|V>,0.0002735404850009511
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,3,|2H>,3.87610908810299e-08
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,4,|2V>,3.723699515811574e-08
After BS (Heisenberg),after_bs,A,28,28.000000000000004,71.0,5,|HV>,3.801948295472328e-08
After BS (Heisenberg),after_bs,A,29,29.0,70.0,0,|vac>,0.9994505020356753
After BS (Heisenberg),after_bs,A,29,29.0,70.0,1,|H>,0.00027705727596617535
After BS (Heisenberg),after_bs,A,29,29.0,70.0,2,|V>,0.00027232803495249826
After BS (Heisenberg),after_bs,A,29,29.0,70.0,3,|2H>,3.829733374400871e-08
After BS (Heisenberg),after_bs,A,29,29.0,70.0,4,|2V>,3.679147306693452e-08
After BS (Heisenberg),after_bs,A,29,29.0,70.0,5,|HV>,3.75645987869835e-08
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,0,|vac>,0.9994560618643861
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,1,|H>,0.0002741532851572783
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,2,|V>,0.00026967482465735853
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,3,|2H>,3.740406004727811e-08
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,4,|2V>,3.593332311387653e-08
After BS (Heisenberg),after_bs,A,30,30.000000000000004,69.00000000000001,5,|HV>,3.6688415910939506e-08
After BS (Heisenberg),after_bs,A,31,31.0,68.0,0,|vac>,0.999464539057595
After BS (Heisenberg),after_bs,A,31,31.0,68.0,1,|H>,0.0002697781886105672
After BS (Heisenberg),after_bs,A,31,31.0,68.0,2,|V>,0.000265576577615072
After BS (Heisenberg),after_bs,A,31,31.0,68.0,3,|2H>,3.609535440260488e-08
After BS (Heisenberg),after_bs,A,31,31.0,68.0,4,|2V>,3.467607610027544e-08
After BS (Heisenberg),after_bs,A,31,31.0,68.0,5,|HV>,3.5404749460397064e-08
After BS (Heisenberg),after_bs,A,32,32.0,67.0,0,|vac>,0.9994758962693195
After BS (Heisenberg),after_bs,A,32,32.0,67.0,1,|H>,0.000263952368756155
After BS (Heisenberg),after_bs,A,32,32.0,67.0,2,|V>,0.0002600501747001204
After BS (Heisenberg),after_bs,A,32,32.0,67.0,3,|2H>,3.439932311076964e-08
After BS (Heisenberg),after_bs,A,32,32.0,67.0,4,|2V>,3.304673318018282e-08
After BS (Heisenberg),after_bs,A,32,32.0,67.0,5,|HV>,3.374116798410374e-08
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,0,|vac>,0.9994900510433218
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,1,|H>,0.00025671903016380486
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,2,|V>,0.0002531347451596523
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,3,|2H>,3.235758473076027e-08
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,4,|2V>,3.108527646050748e-08
After BS (Heisenberg),after_bs,A,33,33.00000000000001,66.00000000000001,5,|HV>,3.1738493761775406e-08
After BS (Heisenberg),after_bs,A,34,34.0,65.0,0,|vac>,0.999506874676243
After BS (Heisenberg),after_bs,A,34,34.0,65.0,1,|H>,0.0002481447367807025
After BS (Heisenberg),after_bs,A,34,34.0,65.0,2,|V>,0.00024489227004563193
After BS (Heisenberg),after_bs,A,34,34.0,65.0,3,|2H>,3.0023974405745474e-08
After BS (Heisenberg),after_bs,A,34,34.0,65.0,4,|2V>,2.8843424273214463e-08
After BS (Heisenberg),after_bs,A,34,34.0,65.0,5,|HV>,2.9449531919932628e-08
After BS (Heisenberg),after_bs,A,35,35.0,64.0,0,|vac>,0.999526192252247
After BS (Heisenberg),after_bs,A,35,35.0,64.0,1,|H>,0.00023831935189889812
After BS (Heisenberg),after_bs,A,35,35.0,64.0,2,|V>,0.00023540761371177948
After BS (Heisenberg),after_bs,A,35,35.0,64.0,3,|2H>,2.7462469360496665e-08
After BS (Heisenberg),after_bs,A,35,35.0,64.0,4,|2V>,2.638263824270294e-08
After BS (Heisenberg),after_bs,A,35,35.0,64.0,5,|HV>,2.6937035620352683e-08
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,0,|vac>,0.9995477839915273
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,1,|H>,0.0002273553097685423
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,2,|V>,0.00022478791186612346
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,3,|2H>,2.474440830584909e-08
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,4,|2V>,2.377145202397524e-08
After BS (Heisenberg),after_bs,A,36,36.00000000000001,63.00000000000001,5,|HV>,2.4270978665086233e-08
After BS (Heisenberg),after_bs,A,37,37.0,62.0,0,|vac>,0.9995713880142769
After BS (Heisenberg),after_bs,A,37,37.0,62.0,1,|H>,0.00021538616886170923
After BS (Heisenberg),after_bs,A,37,37.0,62.0,2,|V>,0.00021316126418265035
After BS (Heisenberg),after_bs,A,37,37.0,62.0,3,|2H>,2.1945146415261505e-08
After BS (Heisenberg),after_bs,A,37,37.0,62.0,4,|2V>,2.1082257806350397e-08
After BS (Heisenberg),after_bs,A,37,37.0,62.0,5,|HV>,2.1525274472661435e-08
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,0,|vac>,0.9995967045674624
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,1,|H>,0.00020256442469393624
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,2,|V>,0.0002006747055978812
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,3,|2H>,1.9140352666150485e-08
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,4,|2V>,1.838774924425348e-08
After BS (Heisenberg),after_bs,A,38,38.0,61.00000000000001,5,|HV>,1.8774144261617282e-08
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,0,|vac>,0.9996234016955985
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,1,|H>,0.00018905859404721884
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,2,|V>,0.00018749146248635168
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,3,|2H>,1.6402209050385266e-08
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,4,|2V>,1.5757270115701018e-08
After BS (Heisenberg),after_bs,A,39,39.00000000000001,60.00000000000001,5,|HV>,1.608838898071715e-08
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,0,|vac>,0.9996511222615592
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,1,|H>,0.00017504962088393794
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,2,|V>,0.0001737875365560483
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,3,|2H>,1.3795802723306408e-08
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,4,|2V>,1.3253348332915914e-08
After BS (Heisenberg),after_bs,A,40,40.0,59.00000000000001,5,|HV>,1.3531850486235502e-08
After BS (Heisenberg),after_bs,A,41,41.0,58.0,0,|vac>,0.9996794921435636
After BS (Heisenberg),after_bs,A,41,41.0,58.0,1,|H>,0.00016072669492759204
After BS (Heisenberg),after_bs,A,41,41.0,58.0,2,|V>,0.00015974769845619855
After BS (Heisenberg),after_bs,A,41,41.0,58.0,3,|2H>,1.1376005167168027e-08
After BS (Heisenberg),after_bs,A,41,41.0,58.0,4,|2V>,1.092869781783825e-08
After BS (Heisenberg),after_bs,A,41,41.0,58.0,5,|HV>,1.1158350415716983e-08
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,0,|vac>,0.9997081293556294
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,1,|H>,0.00014628261390782767
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,2,|V>,0.0001455610120527122
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,3,|2H>,9.185102386747885e-09
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,4,|2V>,8.823941879033296e-09
After BS (Heisenberg),after_bs,A,42,42.00000000000001,57.0,5,|HV>,9.009365724566115e-09
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,0,|vac>,0.9997366537672449
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,1,|H>,0.0001319088565030309
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,2,|V>,0.00013141604598641498
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,3,|2H>,7.251376858140405e-09
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,4,|2V>,6.96625091860878e-09
After BS (Heisenberg),after_bs,A,43,43.0,56.00000000000001,5,|HV>,7.112637766117952e-09
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,0,|vac>,0.9997646970405333
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,1,|H>,0.0001177905616508984
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,2,|V>,0.0001174959582437588
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,3,|2H>,5.588750469066923e-09
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,4,|2V>,5.368999412202187e-09
After BS (Heisenberg),after_bs,A,44,44.00000000000001,55.0,5,|HV>,5.481822063498257e-09
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,0,|vac>,0.9997919123658336
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,1,|H>,0.00010410162802740748
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,2,|V>,0.00010397365903003389
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,3,|2H>,4.197488308478577e-09
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,4,|2V>,4.032442025401435e-09
After BS (Heisenberg),after_bs,A,45,45.00000000000001,54.0,5,|HV>,4.117178633766331e-09
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,0,|vac>,0.9998179835640906
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,1,|H>,9.10001527220638e-05
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,2,|V>,9.100726484486055e-05
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,3,|2H>,3.065850309711107e-09
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,4,|2V>,2.945300313879793e-09
After BS (Heisenberg),after_bs,A,46,46.0,53.00000000000001,5,|HV>,3.0071920305225515e-09
After BS (Heisenberg),after_bs,A,47,47.00000000000001,52.0,0,|vac>,0.9998426331395499
