stage_name,stage_mode,arm,bin_index,time_ns_increasing,time_ns_plot_axis,state_index,state_label,probability
After Emission,emission,A,0,0.0,99.0,0,|vac>,0.9987035761534484
After Emission,emission,A,97,97.00000000000001,2.0,0,|vac>,0.9999999780362566
After Emission,emission,A,97,97.00000000000001,2.0,1,|H_780>,1.0981871658038945e-08
After Emission,emission,A,97,97.00000000000001,2.0,2,|V_780>,1.0981871658039e-08
After Emission,emission,A,97,97.00000000000001,2.0,3,|H_1517>,3.638530179801451e-36
After Emission,emission,A,97,97.00000000000001,2.0,4,|V_1517>,9.647672895827309e-36
After Emission,emission,A,98,98.0,1.0,0,|vac>,0.9999999971984233
After Emission,emission,A,98,98.0,1.0,1,|H_780>,1.400788529087602e-09
After Emission,emission,A,98,98.0,1.0,2,|V_780>,1.4007885290876015e-09
After Emission,emission,A,98,98.0,1.0,3,|H_1517>,2.7475131392211373e-34
After Emission,emission,A,98,98.0,1.0,4,|V_1517>,1.76890155841113e-36
After Emission,emission,A,99,99.0,0.0,0,|vac>,0.9999999999444709
After Emission,emission,A,99,99.0,0.0,1,|H_780>,2.776468948156745e-11
After Emission,emission,A,99,99.0,0.0,2,|V_780>,2.7764689481567594e-11
After Emission,emission,A,99,99.0,0.0,3,|H_1517>,6.173198414477274e-45
After Emission,emission,A,99,99.0,0.0,4,|V_1517>,3.005250499098194e-44
After Emission,emission,B,0,0.0,99.0,0,|vac>,0.999532925086121
After Emission,emission,B,0,0.0,99.0,1,|H_780>,0.00023353745693943185
After Emission,emission,B,0,0.0,99.0,2,|V_780>,0.00023353745693943147
After Emission,emission,B,0,0.0,99.0,3,|H_1517>,2.428899791272541e-32
After Emission,emission,B,0,0.0,99.0,4,|V_1517>,2.6814371169072674e-33
After Emission,emission,B,1,1.0,98.0,0,|vac>,0.9996409037697577
After Emission,emission,B,1,1.0,98.0,1,|H_780>,0.0001795481151215002
After Emission,emission,B,1,1.0,98.0,2,|V_780>,0.00017954811512150106
After Emission,emission,B,1,1.0,98.0,3,|H_1517>,8.257656897206993e-33
After Emission,emission,B,1,1.0,98.0,4,|V_1517>,2.5397855886662072e-33
After Emission,emission,B,2,2.0,97.00000000000001,0,|vac>,0.9997372213466551
After Emission,emission,B,2,2.0,97.00000000000001,1,|H_780>,0.00013138932667265235
After Emission,emission,B,2,2.0,97.00000000000001,2,|V_780>,0.00013138932667265254
After Emission,emission,B,2,2.0,97.00000000000001,3,|H_1517>,1.4347925266796157e-32
After Emission,emission,B,2,2.0,97.00000000000001,4,|V_1517>,1.4967880985650383e-32
After Emission,emission,B,3,3.0000000000000004,96.00000000000001,0,|vac>,0.9998205807734815
After Emission,emission,B,3,3.0000000000000004,96.00000000000001,1,|H_780>,8.970961325953668e-05
After Emission,emission,B,3,3.0000000000000004,96.00000000000001,2,|V_780>,8.970961325953677e-05
After Emission,emission,B,3,3.0000000000000004,96.00000000000001,3,|H_1517>,1.5890586093991758e-32
After Emission,emission,B,3,3.0000000000000004,96.00000000000001,4,|V_1517>,5.569906733413267e-33
After Emission,emission,B,4,4.0,95.0,0,|vac>,0.9998896685361851
After Emission,emission,B,4,4.0,95.0,1,|H_780>,5.5165731907651556e-05
After Emission,emission,B,4,4.0,95.0,2,|V_780>,5.5165731907651474e-05
After Emission,emission,B,4,4.0,95.0,3,|H_1517>,1.4092867793025155e-32
After Emission,emission,B,4,4.0,95.0,4,|V_1517>,3.6195480638110096e-33
After Emission,emission,B,5,5.0,94.00000000000001,0,|vac>,0.9999431608123293
After Emission,emission,B,5,5.0,94.00000000000001,1,|H_780>,2.8419593835470265e-05
After Emission,emission,B,5,5.0,94.00000000000001,2,|V_780>,2.841959383547013e-05
After Emission,emission,B,5,5.0,94.00000000000001,3,|H_1517>,2.740206173832753e-32
After Emission,emission,B,5,5.0,94.00000000000001,4,|V_1517>,4.5772151144142134e-33
After Emission,emission,B,6,6.000000000000001,93.00000000000001,0,|vac>,0.9999797304869933
After Emission,emission,B,6,6.000000000000001,93.00000000000001,1,|H_780>,1.0134756503582163e-05
After Emission,emission,B,6,6.000000000000001,93.00000000000001,2,|V_780>,1.013475650358216e-05
After Emission,emission,B,6,6.000000000000001,93.00000000000001,3,|H_1517>,6.307936424259522e-34
After Emission,emission,B,6,6.000000000000001,93.00000000000001,4,|V_1517>,6.815476378967118e-33
After Emission,emission,B,7,7.000000000000001,92.0,0,|vac>,0.9999980551186349
After Emission,emission,B,7,7.000000000000001,92.0,1,|H_780>,9.724406824240511e-07
After Emission,emission,B,7,7.000000000000001,92.0,2,|V_780>,9.724406824240456e-07
After Emission,emission,B,7,7.000000000000001,92.0,3,|H_1517>,2.078072568251357e-33
After Emission,emission,B,7,7.000000000000001,92.0,4,|V_1517>,1.1390766399091171e-32
After Emission,emission,B,8,8.0,91.00000000000001,0,|vac>,0.9999968259588177
After Emission,emission,B,8,8.0,91.00000000000001,1,|H_780>,1.5870205912740544e-06
After Emission,emission,B,8,8.0,91.00000000000001,2,|V_780>,1.587020591274026e-06
After Emission,emission,B,8,8.0,91.00000000000001,3,|H_1517>,3.2167908669200194e-33
After Emission,emission,B,8,8.0,91.00000000000001,4,|V_1517>,4.0058768903284196e-33
After Emission,emission,B,9,9.000000000000002,90.00000000000001,0,|vac>,0.9999747581363913
After Emission,emission,B,9,9.000000000000002,90.00000000000001,1,|H_780>,1.2620931804295732e-05
After Emission,emission,B,9,9.000000000000002,90.00000000000001,2,|V_780>,1.262093180429575e-05
After Emission,emission,B,9,9.000000000000002,90.00000000000001,3,|H_1517>,6.024328029347867e-34
After Emission,emission,B,9,9.000000000000002,90.00000000000001,4,|V_1517>,1.1959248809962776e-32
After Emission,emission,B,10,10.0,89.0,0,|vac>,0.9999306021222667
After Emission,emission,B,10,10.0,89.0,1,|H_780>,3.469893886668013e-05
After Emission,emission,B,10,10.0,89.0,2,|V_780>,3.469893886668009e-05
After Emission,emission,B,10,10.0,89.0,3,|H_1517>,2.8469534468096397e-33
After Emission,emission,B,10,10.0,89.0,4,|V_1517>,1.2253208904518211e-33
After Emission,emission,B,11,11.000000000000002,88.00000000000001,0,|vac>,0.9998631565946665
